Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2023-02-01,21,52,µg/mc
"Riva del Garda",PM10,2023-02-01,22,50,µg/mc
"Riva del Garda",PM10,2023-02-01,23,36,µg/mc
"Riva del Garda",PM10,2023-02-01,24,29,µg/mc
"Riva del Garda",PM10,2023-02-02,1,22,µg/mc
"Riva del Garda",PM10,2023-02-02,2,20,µg/mc
"Riva del Garda",PM10,2023-02-02,3,15,µg/mc
"Riva del Garda",PM10,2023-02-02,4,11,µg/mc
"Riva del Garda",PM10,2023-02-02,5,9,µg/mc
"Riva del Garda",PM10,2023-02-02,6,7,µg/mc
"Riva del Garda",PM10,2023-02-02,7,9,µg/mc
"Riva del Garda",PM10,2023-02-02,8,12,µg/mc
"Riva del Garda",PM10,2023-02-02,9,17,µg/mc
"Riva del Garda",PM10,2023-02-02,10,17,µg/mc
"Riva del Garda",PM10,2023-02-02,11,13,µg/mc
"Riva del Garda",PM10,2023-02-02,12,10,µg/mc
"Riva del Garda",PM10,2023-02-02,13,9,µg/mc
"Riva del Garda",PM10,2023-02-02,14,6,µg/mc
"Riva del Garda",PM10,2023-02-02,15,7,µg/mc
"Riva del Garda",PM10,2023-02-02,16,45,µg/mc
"Riva del Garda",PM10,2023-02-02,17,7,µg/mc
"Riva del Garda",PM10,2023-02-02,18,8,µg/mc
"Riva del Garda",PM10,2023-02-02,19,19,µg/mc
"Riva del Garda",PM10,2023-02-02,20,14,µg/mc
"Riva del Garda",PM10,2023-02-02,21,8,µg/mc
"Riva del Garda",PM10,2023-02-02,22,5,µg/mc
"Riva del Garda",PM10,2023-02-02,23,4,µg/mc
"Riva del Garda",PM10,2023-02-02,24,2,µg/mc
"Riva del Garda",PM10,2023-02-03,1,2,µg/mc
"Riva del Garda",PM10,2023-02-03,2,0,µg/mc
"Riva del Garda",PM10,2023-02-03,3,0,µg/mc
"Riva del Garda",PM10,2023-02-03,4,2,µg/mc
"Riva del Garda",PM10,2023-02-03,5,3,µg/mc
"Riva del Garda",PM10,2023-02-03,6,4,µg/mc
"Riva del Garda",PM10,2023-02-03,7,5,µg/mc
"Riva del Garda",PM10,2023-02-03,8,9,µg/mc
"Riva del Garda",PM10,2023-02-03,9,11,µg/mc
"Riva del Garda",PM10,2023-02-03,10,11,µg/mc
"Riva del Garda",PM10,2023-02-03,11,9,µg/mc
"Riva del Garda",PM10,2023-02-03,12,54,µg/mc
"Riva del Garda",PM10,2023-02-03,13,147,µg/mc
"Riva del Garda",PM10,2023-02-03,14,131,µg/mc
"Riva del Garda",PM10,2023-02-03,15,119,µg/mc
"Riva del Garda",PM10,2023-02-03,16,107,µg/mc
"Riva del Garda",PM10,2023-02-03,17,91,µg/mc
"Riva del Garda",PM10,2023-02-03,18,91,µg/mc
"Riva del Garda",PM10,2023-02-03,19,96,µg/mc
"Riva del Garda",PM10,2023-02-03,20,114,µg/mc
"Riva del Garda",PM10,2023-02-03,21,112,µg/mc
"Riva del Garda",PM10,2023-02-03,22,91,µg/mc
"Riva del Garda",PM10,2023-02-03,23,66,µg/mc
"Riva del Garda",PM10,2023-02-03,24,45,µg/mc
"Riva del Garda",PM10,2023-02-04,1,30,µg/mc
"Riva del Garda",PM10,2023-02-04,2,15,µg/mc
"Riva del Garda",PM10,2023-02-04,3,5,µg/mc
"Riva del Garda",PM10,2023-02-04,4,1,µg/mc
"Riva del Garda",PM10,2023-02-04,5,1,µg/mc
"Riva del Garda",PM10,2023-02-04,6,2,µg/mc
"Riva del Garda",PM10,2023-02-04,7,2,µg/mc
"Riva del Garda",PM10,2023-02-04,8,3,µg/mc
"Riva del Garda",PM10,2023-02-04,9,6,µg/mc
"Riva del Garda",PM10,2023-02-04,10,8,µg/mc
"Riva del Garda",PM10,2023-02-04,11,6,µg/mc
"Riva del Garda",PM10,2023-02-04,12,6,µg/mc
"Riva del Garda",PM10,2023-02-04,13,112,µg/mc
"Riva del Garda",PM10,2023-02-04,14,131,µg/mc
