Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-02-12,10,5,µg/mc
"Riva del Garda",PM10,2022-02-12,11,11,µg/mc
"Riva del Garda",PM10,2022-02-12,12,5,µg/mc
"Riva del Garda",PM10,2022-02-12,13,4,µg/mc
"Riva del Garda",PM10,2022-02-12,14,5,µg/mc
"Riva del Garda",PM10,2022-02-12,15,6,µg/mc
"Riva del Garda",PM10,2022-02-12,16,7,µg/mc
"Riva del Garda",PM10,2022-02-12,17,11,µg/mc
"Riva del Garda",PM10,2022-02-12,18,11,µg/mc
"Riva del Garda",PM10,2022-02-12,19,19,µg/mc
"Riva del Garda",PM10,2022-02-12,20,26,µg/mc
"Riva del Garda",PM10,2022-02-12,21,31,µg/mc
"Riva del Garda",PM10,2022-02-12,22,27,µg/mc
"Riva del Garda",PM10,2022-02-12,23,28,µg/mc
"Riva del Garda",PM10,2022-02-12,24,23,µg/mc
"Riva del Garda",PM10,2022-02-13,1,20,µg/mc
"Riva del Garda",PM10,2022-02-13,2,16,µg/mc
"Riva del Garda",PM10,2022-02-13,3,15,µg/mc
"Riva del Garda",PM10,2022-02-13,4,13,µg/mc
"Riva del Garda",PM10,2022-02-13,5,12,µg/mc
"Riva del Garda",PM10,2022-02-13,6,11,µg/mc
"Riva del Garda",PM10,2022-02-13,7,9,µg/mc
"Riva del Garda",PM10,2022-02-13,8,9,µg/mc
"Riva del Garda",PM10,2022-02-13,9,13,µg/mc
"Riva del Garda",PM10,2022-02-13,10,10,µg/mc
"Riva del Garda",PM10,2022-02-13,11,10,µg/mc
"Riva del Garda",PM10,2022-02-13,12,8,µg/mc
"Riva del Garda",PM10,2022-02-13,13,9,µg/mc
"Riva del Garda",PM10,2022-02-13,14,10,µg/mc
"Riva del Garda",PM10,2022-02-13,15,11,µg/mc
"Riva del Garda",PM10,2022-02-13,16,15,µg/mc
"Riva del Garda",PM10,2022-02-13,17,19,µg/mc
"Riva del Garda",PM10,2022-02-13,18,17,µg/mc
"Riva del Garda",PM10,2022-02-13,19,21,µg/mc
"Riva del Garda",PM10,2022-02-13,20,28,µg/mc
"Riva del Garda",PM10,2022-02-13,21,36,µg/mc
"Riva del Garda",PM10,2022-02-13,22,37,µg/mc
"Riva del Garda",PM10,2022-02-13,23,35,µg/mc
"Riva del Garda",PM10,2022-02-13,24,36,µg/mc
"Riva del Garda",PM10,2022-02-14,1,29,µg/mc
"Riva del Garda",PM10,2022-02-14,2,26,µg/mc
"Riva del Garda",PM10,2022-02-14,3,24,µg/mc
"Riva del Garda",PM10,2022-02-14,4,22,µg/mc
"Riva del Garda",PM10,2022-02-14,5,21,µg/mc
"Riva del Garda",PM10,2022-02-14,6,21,µg/mc
"Riva del Garda",PM10,2022-02-14,7,21,µg/mc
"Riva del Garda",PM10,2022-02-14,8,22,µg/mc
"Riva del Garda",PM10,2022-02-14,9,24,µg/mc
"Riva del Garda",PM10,2022-02-14,10,25,µg/mc
"Riva del Garda",PM10,2022-02-14,11,24,µg/mc
"Riva del Garda",PM10,2022-02-14,12,23,µg/mc
"Riva del Garda",PM10,2022-02-14,13,24,µg/mc
"Riva del Garda",PM10,2022-02-14,14,23,µg/mc
"Riva del Garda",PM10,2022-02-14,15,18,µg/mc
"Riva del Garda",PM10,2022-02-14,16,19,µg/mc
"Riva del Garda",PM10,2022-02-14,17,22,µg/mc
"Riva del Garda",PM10,2022-02-14,18,26,µg/mc
"Riva del Garda",PM10,2022-02-14,19,35,µg/mc
"Riva del Garda",PM10,2022-02-14,20,43,µg/mc
"Riva del Garda",PM10,2022-02-14,21,48,µg/mc
"Riva del Garda",PM10,2022-02-14,22,48,µg/mc
"Riva del Garda",PM10,2022-02-14,23,50,µg/mc
"Riva del Garda",PM10,2022-02-14,24,45,µg/mc
"Riva del Garda",PM10,2022-02-15,1,44,µg/mc
"Riva del Garda",PM10,2022-02-15,2,39,µg/mc
"Riva del Garda",PM10,2022-02-15,3,35,µg/mc
"Riva del Garda",PM10,2022-02-15,4,31,µg/mc
"Riva del Garda",PM10,2022-02-15,5,29,µg/mc
"Riva del Garda",PM10,2022-02-15,6,24,µg/mc
"Riva del Garda",PM10,2022-02-15,7,21,µg/mc
"Riva del Garda",PM10,2022-02-15,8,9,µg/mc
"Riva del Garda",PM10,2022-02-15,9,8,µg/mc
"Riva del Garda",PM10,2022-02-15,10,6,µg/mc
"Riva del Garda",PM10,2022-02-15,11,5,µg/mc
"Riva del Garda",PM10,2022-02-15,12,6,µg/mc
"Riva del Garda",PM10,2022-02-15,13,6,µg/mc
"Riva del Garda",PM10,2022-02-15,14,4,µg/mc
"Riva del Garda",PM10,2022-02-15,15,8,µg/mc
"Riva del Garda",PM10,2022-02-15,16,7,µg/mc
"Riva del Garda",PM10,2022-02-15,17,5,µg/mc
"Riva del Garda",PM10,2022-02-15,18,5,µg/mc
"Riva del Garda",PM10,2022-02-15,19,7,µg/mc
"Riva del Garda",PM10,2022-02-15,20,8,µg/mc
"Riva del Garda",PM10,2022-02-15,21,10,µg/mc
"Riva del Garda",PM10,2022-02-15,22,11,µg/mc
"Riva del Garda",PM10,2022-02-15,23,14,µg/mc
