Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-08-25,10,5,µg/mc
"Riva del Garda",PM10,2020-08-25,11,5,µg/mc
"Riva del Garda",PM10,2020-08-25,12,5,µg/mc
"Riva del Garda",PM10,2020-08-25,13,6,µg/mc
"Riva del Garda",PM10,2020-08-25,14,8,µg/mc
"Riva del Garda",PM10,2020-08-25,15,10,µg/mc
"Riva del Garda",PM10,2020-08-25,16,9,µg/mc
"Riva del Garda",PM10,2020-08-25,17,9,µg/mc
"Riva del Garda",PM10,2020-08-25,18,9,µg/mc
"Riva del Garda",PM10,2020-08-25,19,9,µg/mc
"Riva del Garda",PM10,2020-08-25,20,9,µg/mc
"Riva del Garda",PM10,2020-08-25,21,12,µg/mc
"Riva del Garda",PM10,2020-08-25,22,14,µg/mc
"Riva del Garda",PM10,2020-08-25,23,13,µg/mc
"Riva del Garda",PM10,2020-08-25,24,12,µg/mc
"Riva del Garda",PM10,2020-08-26,1,12,µg/mc
"Riva del Garda",PM10,2020-08-26,2,13,µg/mc
"Riva del Garda",PM10,2020-08-26,3,13,µg/mc
"Riva del Garda",PM10,2020-08-26,4,13,µg/mc
"Riva del Garda",PM10,2020-08-26,5,12,µg/mc
"Riva del Garda",PM10,2020-08-26,6,11,µg/mc
"Riva del Garda",PM10,2020-08-26,7,13,µg/mc
"Riva del Garda",PM10,2020-08-26,8,13,µg/mc
"Riva del Garda",PM10,2020-08-26,9,14,µg/mc
"Riva del Garda",PM10,2020-08-26,10,13,µg/mc
"Riva del Garda",PM10,2020-08-26,11,13,µg/mc
"Riva del Garda",PM10,2020-08-26,12,14,µg/mc
"Riva del Garda",PM10,2020-08-26,13,17,µg/mc
"Riva del Garda",PM10,2020-08-26,14,21,µg/mc
"Riva del Garda",PM10,2020-08-26,15,20,µg/mc
"Riva del Garda",PM10,2020-08-26,16,18,µg/mc
"Riva del Garda",PM10,2020-08-26,17,18,µg/mc
"Riva del Garda",PM10,2020-08-26,18,16,µg/mc
"Riva del Garda",PM10,2020-08-26,19,16,µg/mc
"Riva del Garda",PM10,2020-08-26,20,17,µg/mc
"Riva del Garda",PM10,2020-08-26,21,18,µg/mc
"Riva del Garda",PM10,2020-08-26,22,20,µg/mc
"Riva del Garda",PM10,2020-08-26,23,20,µg/mc
"Riva del Garda",PM10,2020-08-26,24,20,µg/mc
"Riva del Garda",PM10,2020-08-27,1,19,µg/mc
"Riva del Garda",PM10,2020-08-27,2,19,µg/mc
"Riva del Garda",PM10,2020-08-27,3,18,µg/mc
"Riva del Garda",PM10,2020-08-27,4,18,µg/mc
"Riva del Garda",PM10,2020-08-27,5,18,µg/mc
"Riva del Garda",PM10,2020-08-27,6,17,µg/mc
"Riva del Garda",PM10,2020-08-27,7,18,µg/mc
"Riva del Garda",PM10,2020-08-27,8,18,µg/mc
"Riva del Garda",PM10,2020-08-27,9,17,µg/mc
"Riva del Garda",PM10,2020-08-27,10,16,µg/mc
"Riva del Garda",PM10,2020-08-27,11,15,µg/mc
"Riva del Garda",PM10,2020-08-27,12,15,µg/mc
"Riva del Garda",PM10,2020-08-27,13,16,µg/mc
"Riva del Garda",PM10,2020-08-27,14,17,µg/mc
"Riva del Garda",PM10,2020-08-27,15,17,µg/mc
"Riva del Garda",PM10,2020-08-27,16,16,µg/mc
"Riva del Garda",PM10,2020-08-27,17,17,µg/mc
"Riva del Garda",PM10,2020-08-27,18,16,µg/mc
"Riva del Garda",PM10,2020-08-27,19,17,µg/mc
"Riva del Garda",PM10,2020-08-27,20,18,µg/mc
"Riva del Garda",PM10,2020-08-27,21,19,µg/mc
"Riva del Garda",PM10,2020-08-27,22,18,µg/mc
"Riva del Garda",PM10,2020-08-27,23,19,µg/mc
"Riva del Garda",PM10,2020-08-27,24,19,µg/mc
"Riva del Garda",PM10,2020-08-28,1,19,µg/mc
"Riva del Garda",PM10,2020-08-28,2,19,µg/mc
"Riva del Garda",PM10,2020-08-28,3,18,µg/mc
"Riva del Garda",PM10,2020-08-28,4,18,µg/mc
"Riva del Garda",PM10,2020-08-28,5,19,µg/mc
"Riva del Garda",PM10,2020-08-28,6,19,µg/mc
"Riva del Garda",PM10,2020-08-28,7,19,µg/mc
"Riva del Garda",PM10,2020-08-28,8,19,µg/mc
"Riva del Garda",PM10,2020-08-28,9,19,µg/mc
"Riva del Garda",PM10,2020-08-28,10,19,µg/mc
"Riva del Garda",PM10,2020-08-28,11,19,µg/mc
"Riva del Garda",PM10,2020-08-28,12,21,µg/mc
"Riva del Garda",PM10,2020-08-28,13,25,µg/mc
"Riva del Garda",PM10,2020-08-28,14,25,µg/mc
"Riva del Garda",PM10,2020-08-28,15,23,µg/mc
"Riva del Garda",PM10,2020-08-28,16,23,µg/mc
"Riva del Garda",PM10,2020-08-28,17,20,µg/mc
"Riva del Garda",PM10,2020-08-28,18,19,µg/mc
"Riva del Garda",PM10,2020-08-28,19,19,µg/mc
"Riva del Garda",PM10,2020-08-28,20,18,µg/mc
"Riva del Garda",PM10,2020-08-28,21,16,µg/mc
"Riva del Garda",PM10,2020-08-28,22,14,µg/mc
"Riva del Garda",PM10,2020-08-28,23,12,µg/mc
"Riva del Garda",PM10,2020-08-28,24,11,µg/mc
"Riva del Garda",PM10,2020-08-29,1,11,µg/mc
"Riva del Garda",PM10,2020-08-29,2,10,µg/mc
"Riva del Garda",PM10,2020-08-29,3,10,µg/mc
"Riva del Garda",PM10,2020-08-29,4,10,µg/mc
"Riva del Garda",PM10,2020-08-29,5,10,µg/mc
"Riva del Garda",PM10,2020-08-29,6,9,µg/mc
"Riva del Garda",PM10,2020-08-29,7,9,µg/mc
"Riva del Garda",PM10,2020-08-29,8,10,µg/mc
"Riva del Garda",PM10,2020-08-29,9,10,µg/mc
"Riva del Garda",PM10,2020-08-29,10,11,µg/mc
"Riva del Garda",PM10,2020-08-29,11,11,µg/mc
"Riva del Garda",PM10,2020-08-29,12,11,µg/mc
"Riva del Garda",PM10,2020-08-29,13,12,µg/mc
