Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-11-20,21,1,µg/mc
"Riva del Garda",PM10,2020-11-20,22,1,µg/mc
"Riva del Garda",PM10,2020-11-20,23,1,µg/mc
"Riva del Garda",PM10,2020-11-20,24,0,µg/mc
"Riva del Garda",PM10,2020-11-21,1,5,µg/mc
"Riva del Garda",PM10,2020-11-21,2,0,µg/mc
"Riva del Garda",PM10,2020-11-21,3,1,µg/mc
"Riva del Garda",PM10,2020-11-21,4,1,µg/mc
"Riva del Garda",PM10,2020-11-21,5,1,µg/mc
"Riva del Garda",PM10,2020-11-21,6,1,µg/mc
"Riva del Garda",PM10,2020-11-21,7,0,µg/mc
"Riva del Garda",PM10,2020-11-21,8,0,µg/mc
"Riva del Garda",PM10,2020-11-21,9,5,µg/mc
"Riva del Garda",PM10,2020-11-21,10,7,µg/mc
"Riva del Garda",PM10,2020-11-21,11,4,µg/mc
"Riva del Garda",PM10,2020-11-21,12,2,µg/mc
"Riva del Garda",PM10,2020-11-21,13,2,µg/mc
"Riva del Garda",PM10,2020-11-21,14,4,µg/mc
"Riva del Garda",PM10,2020-11-21,15,6,µg/mc
"Riva del Garda",PM10,2020-11-21,16,7,µg/mc
"Riva del Garda",PM10,2020-11-21,17,14,µg/mc
"Riva del Garda",PM10,2020-11-21,18,12,µg/mc
"Riva del Garda",PM10,2020-11-21,19,14,µg/mc
"Riva del Garda",PM10,2020-11-21,20,15,µg/mc
"Riva del Garda",PM10,2020-11-21,21,14,µg/mc
"Riva del Garda",PM10,2020-11-21,22,24,µg/mc
"Riva del Garda",PM10,2020-11-21,23,22,µg/mc
"Riva del Garda",PM10,2020-11-21,24,21,µg/mc
"Riva del Garda",PM10,2020-11-22,1,19,µg/mc
"Riva del Garda",PM10,2020-11-22,2,15,µg/mc
"Riva del Garda",PM10,2020-11-22,3,15,µg/mc
"Riva del Garda",PM10,2020-11-22,4,12,µg/mc
"Riva del Garda",PM10,2020-11-22,5,10,µg/mc
"Riva del Garda",PM10,2020-11-22,6,9,µg/mc
"Riva del Garda",PM10,2020-11-22,7,8,µg/mc
"Riva del Garda",PM10,2020-11-22,8,14,µg/mc
"Riva del Garda",PM10,2020-11-22,9,16,µg/mc
"Riva del Garda",PM10,2020-11-22,10,14,µg/mc
"Riva del Garda",PM10,2020-11-22,11,11,µg/mc
"Riva del Garda",PM10,2020-11-22,12,11,µg/mc
"Riva del Garda",PM10,2020-11-22,13,10,µg/mc
"Riva del Garda",PM10,2020-11-22,14,8,µg/mc
"Riva del Garda",PM10,2020-11-22,15,12,µg/mc
"Riva del Garda",PM10,2020-11-22,16,12,µg/mc
"Riva del Garda",PM10,2020-11-22,17,30,µg/mc
"Riva del Garda",PM10,2020-11-22,18,26,µg/mc
"Riva del Garda",PM10,2020-11-22,19,24,µg/mc
"Riva del Garda",PM10,2020-11-22,20,37,µg/mc
"Riva del Garda",PM10,2020-11-22,21,34,µg/mc
"Riva del Garda",PM10,2020-11-22,22,28,µg/mc
"Riva del Garda",PM10,2020-11-22,23,23,µg/mc
"Riva del Garda",PM10,2020-11-22,24,20,µg/mc
"Riva del Garda",PM10,2020-11-23,1,13,µg/mc
"Riva del Garda",PM10,2020-11-23,2,12,µg/mc
"Riva del Garda",PM10,2020-11-23,3,10,µg/mc
"Riva del Garda",PM10,2020-11-23,4,10,µg/mc
"Riva del Garda",PM10,2020-11-23,5,10,µg/mc
"Riva del Garda",PM10,2020-11-23,6,10,µg/mc
"Riva del Garda",PM10,2020-11-23,7,13,µg/mc
"Riva del Garda",PM10,2020-11-23,8,16,µg/mc
"Riva del Garda",PM10,2020-11-23,9,22,µg/mc
"Riva del Garda",PM10,2020-11-23,10,20,µg/mc
"Riva del Garda",PM10,2020-11-23,11,15,µg/mc
"Riva del Garda",PM10,2020-11-23,12,16,µg/mc
"Riva del Garda",PM10,2020-11-23,13,17,µg/mc
"Riva del Garda",PM10,2020-11-23,14,15,µg/mc
"Riva del Garda",PM10,2020-11-23,15,20,µg/mc
