Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-02-19,10,92,µg/mc
"Riva del Garda",PM10,2021-02-19,11,80,µg/mc
"Riva del Garda",PM10,2021-02-19,12,74,µg/mc
"Riva del Garda",PM10,2021-02-19,13,80,µg/mc
"Riva del Garda",PM10,2021-02-19,14,102,µg/mc
"Riva del Garda",PM10,2021-02-19,15,109,µg/mc
"Riva del Garda",PM10,2021-02-19,16,105,µg/mc
"Riva del Garda",PM10,2021-02-19,17,109,µg/mc
"Riva del Garda",PM10,2021-02-19,18,108,µg/mc
"Riva del Garda",PM10,2021-02-19,19,111,µg/mc
"Riva del Garda",PM10,2021-02-19,20,104,µg/mc
"Riva del Garda",PM10,2021-02-19,21,96,µg/mc
"Riva del Garda",PM10,2021-02-19,22,88,µg/mc
"Riva del Garda",PM10,2021-02-19,23,95,µg/mc
"Riva del Garda",PM10,2021-02-19,24,92,µg/mc
"Riva del Garda",PM10,2021-02-20,1,87,µg/mc
"Riva del Garda",PM10,2021-02-20,2,77,µg/mc
"Riva del Garda",PM10,2021-02-20,3,61,µg/mc
"Riva del Garda",PM10,2021-02-20,4,61,µg/mc
"Riva del Garda",PM10,2021-02-20,5,59,µg/mc
"Riva del Garda",PM10,2021-02-20,6,58,µg/mc
"Riva del Garda",PM10,2021-02-20,7,62,µg/mc
"Riva del Garda",PM10,2021-02-20,8,67,µg/mc
"Riva del Garda",PM10,2021-02-20,9,77,µg/mc
"Riva del Garda",PM10,2021-02-20,10,73,µg/mc
"Riva del Garda",PM10,2021-02-20,11,54,µg/mc
"Riva del Garda",PM10,2021-02-20,12,65,µg/mc
"Riva del Garda",PM10,2021-02-20,13,80,µg/mc
"Riva del Garda",PM10,2021-02-20,14,100,µg/mc
"Riva del Garda",PM10,2021-02-20,15,107,µg/mc
"Riva del Garda",PM10,2021-02-20,16,106,µg/mc
"Riva del Garda",PM10,2021-02-20,17,106,µg/mc
"Riva del Garda",PM10,2021-02-20,18,102,µg/mc
"Riva del Garda",PM10,2021-02-20,19,103,µg/mc
"Riva del Garda",PM10,2021-02-20,20,106,µg/mc
"Riva del Garda",PM10,2021-02-20,21,90,µg/mc
"Riva del Garda",PM10,2021-02-20,22,72,µg/mc
"Riva del Garda",PM10,2021-02-20,23,74,µg/mc
"Riva del Garda",PM10,2021-02-20,24,84,µg/mc
"Riva del Garda",PM10,2021-02-21,1,84,µg/mc
"Riva del Garda",PM10,2021-02-21,2,74,µg/mc
"Riva del Garda",PM10,2021-02-21,3,70,µg/mc
"Riva del Garda",PM10,2021-02-21,4,69,µg/mc
"Riva del Garda",PM10,2021-02-21,5,65,µg/mc
"Riva del Garda",PM10,2021-02-21,6,64,µg/mc
"Riva del Garda",PM10,2021-02-21,7,65,µg/mc
"Riva del Garda",PM10,2021-02-21,8,65,µg/mc
"Riva del Garda",PM10,2021-02-21,9,60,µg/mc
"Riva del Garda",PM10,2021-02-21,10,52,µg/mc
"Riva del Garda",PM10,2021-02-21,11,45,µg/mc
"Riva del Garda",PM10,2021-02-21,12,45,µg/mc
"Riva del Garda",PM10,2021-02-21,13,44,µg/mc
"Riva del Garda",PM10,2021-02-21,14,44,µg/mc
"Riva del Garda",PM10,2021-02-21,15,45,µg/mc
"Riva del Garda",PM10,2021-02-21,16,57,µg/mc
"Riva del Garda",PM10,2021-02-21,17,59,µg/mc
"Riva del Garda",PM10,2021-02-21,18,57,µg/mc
"Riva del Garda",PM10,2021-02-21,19,54,µg/mc
"Riva del Garda",PM10,2021-02-21,20,56,µg/mc
"Riva del Garda",PM10,2021-02-21,21,59,µg/mc
"Riva del Garda",PM10,2021-02-21,22,59,µg/mc
"Riva del Garda",PM10,2021-02-21,23,70,µg/mc
"Riva del Garda",PM10,2021-02-21,24,64,µg/mc
"Riva del Garda",PM10,2021-02-22,1,58,µg/mc
"Riva del Garda",PM10,2021-02-22,2,54,µg/mc
"Riva del Garda",PM10,2021-02-22,3,50,µg/mc
"Riva del Garda",PM10,2021-02-22,4,47,µg/mc
"Riva del Garda",PM10,2021-02-22,5,44,µg/mc
"Riva del Garda",PM10,2021-02-22,6,42,µg/mc
"Riva del Garda",PM10,2021-02-22,7,41,µg/mc
"Riva del Garda",PM10,2021-02-22,8,42,µg/mc
"Riva del Garda",PM10,2021-02-22,9,41,µg/mc
"Riva del Garda",PM10,2021-02-22,10,36,µg/mc
"Riva del Garda",PM10,2021-02-22,11,34,µg/mc
"Riva del Garda",PM10,2021-02-22,12,32,µg/mc
"Riva del Garda",PM10,2021-02-22,13,46,µg/mc
"Riva del Garda",PM10,2021-02-22,14,49,µg/mc
"Riva del Garda",PM10,2021-02-22,15,57,µg/mc
"Riva del Garda",PM10,2021-02-22,16,60,µg/mc
"Riva del Garda",PM10,2021-02-22,17,65,µg/mc
"Riva del Garda",PM10,2021-02-22,18,68,µg/mc
"Riva del Garda",PM10,2021-02-22,19,62,µg/mc
"Riva del Garda",PM10,2021-02-22,20,56,µg/mc
"Riva del Garda",PM10,2021-02-22,21,68,µg/mc
"Riva del Garda",PM10,2021-02-22,22,68,µg/mc
"Riva del Garda",PM10,2021-02-22,23,64,µg/mc
"Riva del Garda",PM10,2021-02-22,24,62,µg/mc
"Riva del Garda",PM10,2021-02-23,1,65,µg/mc
"Riva del Garda",PM10,2021-02-23,2,48,µg/mc
"Riva del Garda",PM10,2021-02-23,3,42,µg/mc
"Riva del Garda",PM10,2021-02-23,4,36,µg/mc
"Riva del Garda",PM10,2021-02-23,5,31,µg/mc
"Riva del Garda",PM10,2021-02-23,6,27,µg/mc
"Riva del Garda",PM10,2021-02-23,7,24,µg/mc
"Riva del Garda",PM10,2021-02-23,8,21,µg/mc
"Riva del Garda",PM10,2021-02-23,9,23,µg/mc
"Riva del Garda",PM10,2021-02-23,10,18,µg/mc
"Riva del Garda",PM10,2021-02-23,11,17,µg/mc
"Riva del Garda",PM10,2021-02-23,12,15,µg/mc
"Riva del Garda",PM10,2021-02-23,13,14,µg/mc
"Riva del Garda",PM10,2021-02-23,14,35,µg/mc
"Riva del Garda",PM10,2021-02-23,15,54,µg/mc
"Riva del Garda",PM10,2021-02-23,16,80,µg/mc
"Riva del Garda",PM10,2021-02-23,17,95,µg/mc
"Riva del Garda",PM10,2021-02-23,18,60,µg/mc
"Riva del Garda",PM10,2021-02-23,19,49,µg/mc
"Riva del Garda",PM10,2021-02-23,20,49,µg/mc
"Riva del Garda",PM10,2021-02-23,21,50,µg/mc
"Riva del Garda",PM10,2021-02-23,22,45,µg/mc
"Riva del Garda",PM10,2021-02-23,23,35,µg/mc
"Riva del Garda",PM10,2021-02-23,24,27,µg/mc
"Riva del Garda",PM10,2021-02-24,1,28,µg/mc
"Riva del Garda",PM10,2021-02-24,2,30,µg/mc
"Riva del Garda",PM10,2021-02-24,3,30,µg/mc
"Riva del Garda",PM10,2021-02-24,4,30,µg/mc
"Riva del Garda",PM10,2021-02-24,5,31,µg/mc
"Riva del Garda",PM10,2021-02-24,6,34,µg/mc
"Riva del Garda",PM10,2021-02-24,7,44,µg/mc
"Riva del Garda",PM10,2021-02-24,8,43,µg/mc
"Riva del Garda",PM10,2021-02-24,9,47,µg/mc
"Riva del Garda",PM10,2021-02-24,10,43,µg/mc
"Riva del Garda",PM10,2021-02-24,11,44,µg/mc
"Riva del Garda",PM10,2021-02-24,12,46,µg/mc
"Riva del Garda",PM10,2021-02-24,13,48,µg/mc
"Riva del Garda",PM10,2021-02-24,14,51,µg/mc
"Riva del Garda",PM10,2021-02-24,15,50,µg/mc
"Riva del Garda",PM10,2021-02-24,16,62,µg/mc
"Riva del Garda",PM10,2021-02-24,17,68,µg/mc
"Riva del Garda",PM10,2021-02-24,18,152,µg/mc
"Riva del Garda",PM10,2021-02-24,19,74,µg/mc
"Riva del Garda",PM10,2021-02-24,20,78,µg/mc
"Riva del Garda",PM10,2021-02-24,21,82,µg/mc
"Riva del Garda",PM10,2021-02-24,22,74,µg/mc
"Riva del Garda",PM10,2021-02-24,23,66,µg/mc
"Riva del Garda",PM10,2021-02-24,24,78,µg/mc
"Riva del Garda",PM10,2021-02-25,1,53,µg/mc
"Riva del Garda",PM10,2021-02-25,2,51,µg/mc
"Riva del Garda",PM10,2021-02-25,3,50,µg/mc
"Riva del Garda",PM10,2021-02-25,4,46,µg/mc
"Riva del Garda",PM10,2021-02-25,5,47,µg/mc
"Riva del Garda",PM10,2021-02-25,6,47,µg/mc
"Riva del Garda",PM10,2021-02-25,7,50,µg/mc
"Riva del Garda",PM10,2021-02-25,8,55,µg/mc
"Riva del Garda",PM10,2021-02-25,9,58,µg/mc
"Riva del Garda",PM10,2021-02-25,10,55,µg/mc
"Riva del Garda",PM10,2021-02-25,11,53,µg/mc
"Riva del Garda",PM10,2021-02-25,12,54,µg/mc
"Riva del Garda",PM10,2021-02-25,13,52,µg/mc
"Riva del Garda",PM10,2021-02-25,14,52,µg/mc
"Riva del Garda",PM10,2021-02-25,15,53,µg/mc
"Riva del Garda",PM10,2021-02-25,16,57,µg/mc
"Riva del Garda",PM10,2021-02-25,17,70,µg/mc
"Riva del Garda",PM10,2021-02-25,18,65,µg/mc
"Riva del Garda",PM10,2021-02-25,19,80,µg/mc
"Riva del Garda",PM10,2021-02-25,20,72,µg/mc
"Riva del Garda",PM10,2021-02-25,21,81,µg/mc
"Riva del Garda",PM10,2021-02-25,22,78,µg/mc
"Riva del Garda",PM10,2021-02-25,23,68,µg/mc
"Riva del Garda",PM10,2021-02-25,24,63,µg/mc
"Riva del Garda",PM10,2021-02-26,1,60,µg/mc
"Riva del Garda",PM10,2021-02-26,2,52,µg/mc
"Riva del Garda",PM10,2021-02-26,3,49,µg/mc
"Riva del Garda",PM10,2021-02-26,4,47,µg/mc
"Riva del Garda",PM10,2021-02-26,5,46,µg/mc
"Riva del Garda",PM10,2021-02-26,6,44,µg/mc
"Riva del Garda",PM10,2021-02-26,7,46,µg/mc
"Riva del Garda",PM10,2021-02-26,8,48,µg/mc
"Riva del Garda",PM10,2021-02-26,9,55,µg/mc
"Riva del Garda",PM10,2021-02-26,10,44,µg/mc
"Riva del Garda",PM10,2021-02-26,11,42,µg/mc
"Riva del Garda",PM10,2021-02-26,12,41,µg/mc
"Riva del Garda",PM10,2021-02-26,13,38,µg/mc
"Riva del Garda",PM10,2021-02-26,14,38,µg/mc
"Riva del Garda",PM10,2021-02-26,15,40,µg/mc
"Riva del Garda",PM10,2021-02-26,16,48,µg/mc
"Riva del Garda",PM10,2021-02-26,17,52,µg/mc
"Riva del Garda",PM10,2021-02-26,18,60,µg/mc
"Riva del Garda",PM10,2021-02-26,19,66,µg/mc
"Riva del Garda",PM10,2021-02-26,20,77,µg/mc
