Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-11-03,21,41,µg/mc
"Riva del Garda",PM10,2022-11-03,22,30,µg/mc
"Riva del Garda",PM10,2022-11-03,23,14,µg/mc
"Riva del Garda",PM10,2022-11-03,24,12,µg/mc
"Riva del Garda",PM10,2022-11-04,1,13,µg/mc
"Riva del Garda",PM10,2022-11-04,2,10,µg/mc
"Riva del Garda",PM10,2022-11-04,3,3,µg/mc
"Riva del Garda",PM10,2022-11-04,4,3,µg/mc
"Riva del Garda",PM10,2022-11-04,5,3,µg/mc
"Riva del Garda",PM10,2022-11-04,6,2,µg/mc
"Riva del Garda",PM10,2022-11-04,7,3,µg/mc
"Riva del Garda",PM10,2022-11-04,8,4,µg/mc
"Riva del Garda",PM10,2022-11-04,9,5,µg/mc
"Riva del Garda",PM10,2022-11-04,10,3,µg/mc
"Riva del Garda",PM10,2022-11-04,11,2,µg/mc
"Riva del Garda",PM10,2022-11-04,12,2,µg/mc
"Riva del Garda",PM10,2022-11-04,13,2,µg/mc
"Riva del Garda",PM10,2022-11-04,14,2,µg/mc
"Riva del Garda",PM10,2022-11-04,15,2,µg/mc
"Riva del Garda",PM10,2022-11-04,16,4,µg/mc
"Riva del Garda",PM10,2022-11-04,17,4,µg/mc
"Riva del Garda",PM10,2022-11-04,18,4,µg/mc
"Riva del Garda",PM10,2022-11-04,19,4,µg/mc
"Riva del Garda",PM10,2022-11-04,20,4,µg/mc
"Riva del Garda",PM10,2022-11-04,21,3,µg/mc
"Riva del Garda",PM10,2022-11-04,22,3,µg/mc
"Riva del Garda",PM10,2022-11-04,23,2,µg/mc
"Riva del Garda",PM10,2022-11-04,24,2,µg/mc
"Riva del Garda",PM10,2022-11-05,1,2,µg/mc
"Riva del Garda",PM10,2022-11-05,2,2,µg/mc
"Riva del Garda",PM10,2022-11-05,3,1,µg/mc
"Riva del Garda",PM10,2022-11-05,4,1,µg/mc
"Riva del Garda",PM10,2022-11-05,5,1,µg/mc
"Riva del Garda",PM10,2022-11-05,6,1,µg/mc
"Riva del Garda",PM10,2022-11-05,7,2,µg/mc
"Riva del Garda",PM10,2022-11-05,8,3,µg/mc
"Riva del Garda",PM10,2022-11-05,9,3,µg/mc
"Riva del Garda",PM10,2022-11-05,10,2,µg/mc
"Riva del Garda",PM10,2022-11-05,11,2,µg/mc
"Riva del Garda",PM10,2022-11-05,12,3,µg/mc
"Riva del Garda",PM10,2022-11-05,13,2,µg/mc
"Riva del Garda",PM10,2022-11-05,14,2,µg/mc
"Riva del Garda",PM10,2022-11-05,15,3,µg/mc
"Riva del Garda",PM10,2022-11-05,16,2,µg/mc
"Riva del Garda",PM10,2022-11-05,17,2,µg/mc
"Riva del Garda",PM10,2022-11-05,18,1,µg/mc
"Riva del Garda",PM10,2022-11-05,19,2,µg/mc
"Riva del Garda",PM10,2022-11-05,20,4,µg/mc
"Riva del Garda",PM10,2022-11-05,21,2,µg/mc
"Riva del Garda",PM10,2022-11-05,22,3,µg/mc
"Riva del Garda",PM10,2022-11-05,23,4,µg/mc
"Riva del Garda",PM10,2022-11-05,24,8,µg/mc
"Riva del Garda",PM10,2022-11-06,1,3,µg/mc
"Riva del Garda",PM10,2022-11-06,2,1,µg/mc
"Riva del Garda",PM10,2022-11-06,3,1,µg/mc
"Riva del Garda",PM10,2022-11-06,4,3,µg/mc
"Riva del Garda",PM10,2022-11-06,5,2,µg/mc
"Riva del Garda",PM10,2022-11-06,6,2,µg/mc
"Riva del Garda",PM10,2022-11-06,7,4,µg/mc
"Riva del Garda",PM10,2022-11-06,8,4,µg/mc
"Riva del Garda",PM10,2022-11-06,9,4,µg/mc
"Riva del Garda",PM10,2022-11-06,10,4,µg/mc
"Riva del Garda",PM10,2022-11-06,11,4,µg/mc
"Riva del Garda",PM10,2022-11-06,12,4,µg/mc
"Riva del Garda",PM10,2022-11-06,13,3,µg/mc
"Riva del Garda",PM10,2022-11-06,14,4,µg/mc
"Riva del Garda",PM10,2022-11-06,15,6,µg/mc
"Riva del Garda",PM10,2022-11-06,16,6,µg/mc
"Riva del Garda",PM10,2022-11-06,17,8,µg/mc
"Riva del Garda",PM10,2022-11-06,18,16,µg/mc
"Riva del Garda",PM10,2022-11-06,19,25,µg/mc
"Riva del Garda",PM10,2022-11-06,20,23,µg/mc
"Riva del Garda",PM10,2022-11-06,21,24,µg/mc
"Riva del Garda",PM10,2022-11-06,22,19,µg/mc
"Riva del Garda",PM10,2022-11-06,23,14,µg/mc
"Riva del Garda",PM10,2022-11-06,24,10,µg/mc
"Riva del Garda",PM10,2022-11-07,1,9,µg/mc
"Riva del Garda",PM10,2022-11-07,2,7,µg/mc
"Riva del Garda",PM10,2022-11-07,3,6,µg/mc
"Riva del Garda",PM10,2022-11-07,4,5,µg/mc
"Riva del Garda",PM10,2022-11-07,5,4,µg/mc
"Riva del Garda",PM10,2022-11-07,6,4,µg/mc
"Riva del Garda",PM10,2022-11-07,7,7,µg/mc
"Riva del Garda",PM10,2022-11-07,8,6,µg/mc
"Riva del Garda",PM10,2022-11-07,9,7,µg/mc
"Riva del Garda",PM10,2022-11-07,10,5,µg/mc
"Riva del Garda",PM10,2022-11-07,11,5,µg/mc
"Riva del Garda",PM10,2022-11-07,12,5,µg/mc
"Riva del Garda",PM10,2022-11-07,13,4,µg/mc
"Riva del Garda",PM10,2022-11-07,14,5,µg/mc
"Riva del Garda",PM10,2022-11-07,15,7,µg/mc
"Riva del Garda",PM10,2022-11-07,16,10,µg/mc
"Riva del Garda",PM10,2022-11-07,17,13,µg/mc
"Riva del Garda",PM10,2022-11-07,18,28,µg/mc
"Riva del Garda",PM10,2022-11-07,19,22,µg/mc
"Riva del Garda",PM10,2022-11-07,20,34,µg/mc
"Riva del Garda",PM10,2022-11-07,21,34,µg/mc
"Riva del Garda",PM10,2022-11-07,22,29,µg/mc
"Riva del Garda",PM10,2022-11-07,23,19,µg/mc
"Riva del Garda",PM10,2022-11-07,24,16,µg/mc
"Riva del Garda",PM10,2022-11-08,1,12,µg/mc
"Riva del Garda",PM10,2022-11-08,2,11,µg/mc
"Riva del Garda",PM10,2022-11-08,3,9,µg/mc
"Riva del Garda",PM10,2022-11-08,4,8,µg/mc
"Riva del Garda",PM10,2022-11-08,5,7,µg/mc
"Riva del Garda",PM10,2022-11-08,6,8,µg/mc
"Riva del Garda",PM10,2022-11-08,7,13,µg/mc
"Riva del Garda",PM10,2022-11-08,8,10,µg/mc
"Riva del Garda",PM10,2022-11-08,9,12,µg/mc
"Riva del Garda",PM10,2022-11-08,10,8,µg/mc
"Riva del Garda",PM10,2022-11-08,11,8,µg/mc
"Riva del Garda",PM10,2022-11-08,12,9,µg/mc
"Riva del Garda",PM10,2022-11-08,13,9,µg/mc
"Riva del Garda",PM10,2022-11-08,14,9,µg/mc
"Riva del Garda",PM10,2022-11-08,15,10,µg/mc
"Riva del Garda",PM10,2022-11-08,16,16,µg/mc
"Riva del Garda",PM10,2022-11-08,17,17,µg/mc
"Riva del Garda",PM10,2022-11-08,18,29,µg/mc
"Riva del Garda",PM10,2022-11-08,19,34,µg/mc
"Riva del Garda",PM10,2022-11-08,20,32,µg/mc
"Riva del Garda",PM10,2022-11-08,21,39,µg/mc
"Riva del Garda",PM10,2022-11-08,22,28,µg/mc
"Riva del Garda",PM10,2022-11-08,23,30,µg/mc
"Riva del Garda",PM10,2022-11-08,24,21,µg/mc
"Riva del Garda",PM10,2022-11-09,1,18,µg/mc
"Riva del Garda",PM10,2022-11-09,2,16,µg/mc
"Riva del Garda",PM10,2022-11-09,3,14,µg/mc
"Riva del Garda",PM10,2022-11-09,4,12,µg/mc
"Riva del Garda",PM10,2022-11-09,5,11,µg/mc
"Riva del Garda",PM10,2022-11-09,6,11,µg/mc
"Riva del Garda",PM10,2022-11-09,7,12,µg/mc
"Riva del Garda",PM10,2022-11-09,8,16,µg/mc
"Riva del Garda",PM10,2022-11-09,9,15,µg/mc
"Riva del Garda",PM10,2022-11-09,10,14,µg/mc
"Riva del Garda",PM10,2022-11-09,11,12,µg/mc
"Riva del Garda",PM10,2022-11-09,12,13,µg/mc
"Riva del Garda",PM10,2022-11-09,13,13,µg/mc
"Riva del Garda",PM10,2022-11-09,14,13,µg/mc
"Riva del Garda",PM10,2022-11-09,15,15,µg/mc
"Riva del Garda",PM10,2022-11-09,16,20,µg/mc
"Riva del Garda",PM10,2022-11-09,17,27,µg/mc
"Riva del Garda",PM10,2022-11-09,18,24,µg/mc
"Riva del Garda",PM10,2022-11-09,19,22,µg/mc
"Riva del Garda",PM10,2022-11-09,20,24,µg/mc
"Riva del Garda",PM10,2022-11-09,21,28,µg/mc
"Riva del Garda",PM10,2022-11-09,22,26,µg/mc
"Riva del Garda",PM10,2022-11-09,23,26,µg/mc
"Riva del Garda",PM10,2022-11-09,24,28,µg/mc
"Riva del Garda",PM10,2022-11-10,1,27,µg/mc
"Riva del Garda",PM10,2022-11-10,2,22,µg/mc
"Riva del Garda",PM10,2022-11-10,3,22,µg/mc
"Riva del Garda",PM10,2022-11-10,4,19,µg/mc
"Riva del Garda",PM10,2022-11-10,5,15,µg/mc
"Riva del Garda",PM10,2022-11-10,6,14,µg/mc
"Riva del Garda",PM10,2022-11-10,7,14,µg/mc
"Riva del Garda",PM10,2022-11-10,8,15,µg/mc
"Riva del Garda",PM10,2022-11-10,9,18,µg/mc
"Riva del Garda",PM10,2022-11-10,10,15,µg/mc
"Riva del Garda",PM10,2022-11-10,11,12,µg/mc
"Riva del Garda",PM10,2022-11-10,12,11,µg/mc
"Riva del Garda",PM10,2022-11-10,13,10,µg/mc
"Riva del Garda",PM10,2022-11-10,14,10,µg/mc
"Riva del Garda",PM10,2022-11-10,15,10,µg/mc
"Riva del Garda",PM10,2022-11-10,16,15,µg/mc
"Riva del Garda",PM10,2022-11-10,17,19,µg/mc
"Riva del Garda",PM10,2022-11-10,18,29,µg/mc
"Riva del Garda",PM10,2022-11-10,19,39,µg/mc
"Riva del Garda",PM10,2022-11-10,20,21,µg/mc
"Riva del Garda",PM10,2022-11-10,21,19,µg/mc
"Riva del Garda",PM10,2022-11-10,22,19,µg/mc
"Riva del Garda",PM10,2022-11-10,23,22,µg/mc
"Riva del Garda",PM10,2022-11-10,24,21,µg/mc
"Riva del Garda",PM10,2022-11-11,1,18,µg/mc
"Riva del Garda",PM10,2022-11-11,2,14,µg/mc
"Riva del Garda",PM10,2022-11-11,3,13,µg/mc
"Riva del Garda",PM10,2022-11-11,4,11,µg/mc
"Riva del Garda",PM10,2022-11-11,5,10,µg/mc
"Riva del Garda",PM10,2022-11-11,6,8,µg/mc
"Riva del Garda",PM10,2022-11-11,7,8,µg/mc
"Riva del Garda",PM10,2022-11-11,8,9,µg/mc
"Riva del Garda",PM10,2022-11-11,9,12,µg/mc
"Riva del Garda",PM10,2022-11-11,10,8,µg/mc
"Riva del Garda",PM10,2022-11-11,11,8,µg/mc
"Riva del Garda",PM10,2022-11-11,12,8,µg/mc
"Riva del Garda",PM10,2022-11-11,13,7,µg/mc
"Riva del Garda",PM10,2022-11-11,14,6,µg/mc
"Riva del Garda",PM10,2022-11-11,15,7,µg/mc
"Riva del Garda",PM10,2022-11-11,16,10,µg/mc
"Riva del Garda",PM10,2022-11-11,17,15,µg/mc
"Riva del Garda",PM10,2022-11-11,18,21,µg/mc
"Riva del Garda",PM10,2022-11-11,19,33,µg/mc
"Riva del Garda",PM10,2022-11-11,20,35,µg/mc
"Riva del Garda",PM10,2022-11-11,21,22,µg/mc
"Riva del Garda",PM10,2022-11-11,22,19,µg/mc
"Riva del Garda",PM10,2022-11-11,23,22,µg/mc
"Riva del Garda",PM10,2022-11-11,24,11,µg/mc
"Riva del Garda",PM10,2022-11-12,1,10,µg/mc
"Riva del Garda",PM10,2022-11-12,2,11,µg/mc
"Riva del Garda",PM10,2022-11-12,3,9,µg/mc
"Riva del Garda",PM10,2022-11-12,4,8,µg/mc
"Riva del Garda",PM10,2022-11-12,5,7,µg/mc
"Riva del Garda",PM10,2022-11-12,6,7,µg/mc
"Riva del Garda",PM10,2022-11-12,7,9,µg/mc
"Riva del Garda",PM10,2022-11-12,8,9,µg/mc
"Riva del Garda",PM10,2022-11-12,9,10,µg/mc
"Riva del Garda",PM10,2022-11-12,10,10,µg/mc
"Riva del Garda",PM10,2022-11-12,11,9,µg/mc
"Riva del Garda",PM10,2022-11-12,12,7,µg/mc
"Riva del Garda",PM10,2022-11-12,13,8,µg/mc
"Riva del Garda",PM10,2022-11-12,14,6,µg/mc
"Riva del Garda",PM10,2022-11-12,15,14,µg/mc
"Riva del Garda",PM10,2022-11-12,16,14,µg/mc
"Riva del Garda",PM10,2022-11-12,17,18,µg/mc
"Riva del Garda",PM10,2022-11-12,18,23,µg/mc
"Riva del Garda",PM10,2022-11-12,19,32,µg/mc
"Riva del Garda",PM10,2022-11-12,20,37,µg/mc
"Riva del Garda",PM10,2022-11-12,21,33,µg/mc
"Riva del Garda",PM10,2022-11-12,22,28,µg/mc
"Riva del Garda",PM10,2022-11-12,23,18,µg/mc
"Riva del Garda",PM10,2022-11-12,24,15,µg/mc
"Riva del Garda",PM10,2022-11-13,1,14,µg/mc
"Riva del Garda",PM10,2022-11-13,2,12,µg/mc
"Riva del Garda",PM10,2022-11-13,3,10,µg/mc
"Riva del Garda",PM10,2022-11-13,4,10,µg/mc
"Riva del Garda",PM10,2022-11-13,5,9,µg/mc
"Riva del Garda",PM10,2022-11-13,6,10,µg/mc
"Riva del Garda",PM10,2022-11-13,7,8,µg/mc
"Riva del Garda",PM10,2022-11-13,8,9,µg/mc
"Riva del Garda",PM10,2022-11-13,9,11,µg/mc
"Riva del Garda",PM10,2022-11-13,10,10,µg/mc
"Riva del Garda",PM10,2022-11-13,11,10,µg/mc
"Riva del Garda",PM10,2022-11-13,12,11,µg/mc
"Riva del Garda",PM10,2022-11-13,13,8,µg/mc
"Riva del Garda",PM10,2022-11-13,14,9,µg/mc
"Riva del Garda",PM10,2022-11-13,15,10,µg/mc
"Riva del Garda",PM10,2022-11-13,16,11,µg/mc
"Riva del Garda",PM10,2022-11-13,17,17,µg/mc
"Riva del Garda",PM10,2022-11-13,18,17,µg/mc
"Riva del Garda",PM10,2022-11-13,19,21,µg/mc
"Riva del Garda",PM10,2022-11-13,20,26,µg/mc
"Riva del Garda",PM10,2022-11-13,21,35,µg/mc
"Riva del Garda",PM10,2022-11-13,22,30,µg/mc
"Riva del Garda",PM10,2022-11-13,23,31,µg/mc
"Riva del Garda",PM10,2022-11-13,24,32,µg/mc
"Riva del Garda",PM10,2022-11-14,1,35,µg/mc
"Riva del Garda",PM10,2022-11-14,2,37,µg/mc
"Riva del Garda",PM10,2022-11-14,3,36,µg/mc
"Riva del Garda",PM10,2022-11-14,4,31,µg/mc
"Riva del Garda",PM10,2022-11-14,5,29,µg/mc
"Riva del Garda",PM10,2022-11-14,6,28,µg/mc
"Riva del Garda",PM10,2022-11-14,7,19,µg/mc
"Riva del Garda",PM10,2022-11-14,8,19,µg/mc
"Riva del Garda",PM10,2022-11-14,9,17,µg/mc
"Riva del Garda",PM10,2022-11-14,10,17,µg/mc
"Riva del Garda",PM10,2022-11-14,11,14,µg/mc
"Riva del Garda",PM10,2022-11-14,12,8,µg/mc
"Riva del Garda",PM10,2022-11-14,13,7,µg/mc
"Riva del Garda",PM10,2022-11-14,14,7,µg/mc
"Riva del Garda",PM10,2022-11-14,15,7,µg/mc
"Riva del Garda",PM10,2022-11-14,16,7,µg/mc
"Riva del Garda",PM10,2022-11-14,17,8,µg/mc
"Riva del Garda",PM10,2022-11-14,18,14,µg/mc
"Riva del Garda",PM10,2022-11-14,19,19,µg/mc
"Riva del Garda",PM10,2022-11-14,20,23,µg/mc
"Riva del Garda",PM10,2022-11-14,21,23,µg/mc
"Riva del Garda",PM10,2022-11-14,22,19,µg/mc
"Riva del Garda",PM10,2022-11-14,23,16,µg/mc
"Riva del Garda",PM10,2022-11-14,24,13,µg/mc
"Riva del Garda",PM10,2022-11-15,1,11,µg/mc
"Riva del Garda",PM10,2022-11-15,2,10,µg/mc
"Riva del Garda",PM10,2022-11-15,3,9,µg/mc
"Riva del Garda",PM10,2022-11-15,4,9,µg/mc
"Riva del Garda",PM10,2022-11-15,5,8,µg/mc
"Riva del Garda",PM10,2022-11-15,6,8,µg/mc
"Riva del Garda",PM10,2022-11-15,7,8,µg/mc
"Riva del Garda",PM10,2022-11-15,8,10,µg/mc
"Riva del Garda",PM10,2022-11-15,9,9,µg/mc
"Riva del Garda",PM10,2022-11-15,10,9,µg/mc
"Riva del Garda",PM10,2022-11-15,11,10,µg/mc
"Riva del Garda",PM10,2022-11-15,12,9,µg/mc
"Riva del Garda",PM10,2022-11-15,13,12,µg/mc
"Riva del Garda",PM10,2022-11-15,14,14,µg/mc
"Riva del Garda",PM10,2022-11-15,15,19,µg/mc
"Riva del Garda",PM10,2022-11-15,16,28,µg/mc
"Riva del Garda",PM10,2022-11-15,17,25,µg/mc
