Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-05-18,21,11,µg/mc
"Riva del Garda",PM10,2021-05-18,22,10,µg/mc
"Riva del Garda",PM10,2021-05-18,23,11,µg/mc
"Riva del Garda",PM10,2021-05-18,24,12,µg/mc
"Riva del Garda",PM10,2021-05-19,1,9,µg/mc
"Riva del Garda",PM10,2021-05-19,2,8,µg/mc
"Riva del Garda",PM10,2021-05-19,3,6,µg/mc
"Riva del Garda",PM10,2021-05-19,4,6,µg/mc
"Riva del Garda",PM10,2021-05-19,5,5,µg/mc
"Riva del Garda",PM10,2021-05-19,6,6,µg/mc
"Riva del Garda",PM10,2021-05-19,7,6,µg/mc
"Riva del Garda",PM10,2021-05-19,8,4,µg/mc
"Riva del Garda",PM10,2021-05-19,9,3,µg/mc
"Riva del Garda",PM10,2021-05-19,10,2,µg/mc
"Riva del Garda",PM10,2021-05-19,11,3,µg/mc
"Riva del Garda",PM10,2021-05-19,12,6,µg/mc
"Riva del Garda",PM10,2021-05-19,13,9,µg/mc
"Riva del Garda",PM10,2021-05-19,14,9,µg/mc
"Riva del Garda",PM10,2021-05-19,15,13,µg/mc
"Riva del Garda",PM10,2021-05-19,16,13,µg/mc
"Riva del Garda",PM10,2021-05-19,17,11,µg/mc
"Riva del Garda",PM10,2021-05-19,18,10,µg/mc
"Riva del Garda",PM10,2021-05-19,19,10,µg/mc
"Riva del Garda",PM10,2021-05-19,20,9,µg/mc
"Riva del Garda",PM10,2021-05-19,21,7,µg/mc
"Riva del Garda",PM10,2021-05-19,22,7,µg/mc
"Riva del Garda",PM10,2021-05-19,23,7,µg/mc
"Riva del Garda",PM10,2021-05-19,24,6,µg/mc
"Riva del Garda",PM10,2021-05-20,1,5,µg/mc
"Riva del Garda",PM10,2021-05-20,2,8,µg/mc
"Riva del Garda",PM10,2021-05-20,3,7,µg/mc
"Riva del Garda",PM10,2021-05-20,4,6,µg/mc
"Riva del Garda",PM10,2021-05-20,5,7,µg/mc
"Riva del Garda",PM10,2021-05-20,6,6,µg/mc
"Riva del Garda",PM10,2021-05-20,7,6,µg/mc
"Riva del Garda",PM10,2021-05-20,8,5,µg/mc
"Riva del Garda",PM10,2021-05-20,9,4,µg/mc
"Riva del Garda",PM10,2021-05-20,10,3,µg/mc
"Riva del Garda",PM10,2021-05-20,11,3,µg/mc
"Riva del Garda",PM10,2021-05-20,12,3,µg/mc
"Riva del Garda",PM10,2021-05-20,13,3,µg/mc
"Riva del Garda",PM10,2021-05-20,14,6,µg/mc
"Riva del Garda",PM10,2021-05-20,15,7,µg/mc
"Riva del Garda",PM10,2021-05-20,16,8,µg/mc
"Riva del Garda",PM10,2021-05-20,17,8,µg/mc
"Riva del Garda",PM10,2021-05-20,18,9,µg/mc
"Riva del Garda",PM10,2021-05-20,19,8,µg/mc
"Riva del Garda",PM10,2021-05-20,20,8,µg/mc
"Riva del Garda",PM10,2021-05-20,21,8,µg/mc
"Riva del Garda",PM10,2021-05-20,22,9,µg/mc
"Riva del Garda",PM10,2021-05-20,23,9,µg/mc
"Riva del Garda",PM10,2021-05-20,24,10,µg/mc
"Riva del Garda",PM10,2021-05-21,1,11,µg/mc
"Riva del Garda",PM10,2021-05-21,2,10,µg/mc
"Riva del Garda",PM10,2021-05-21,3,8,µg/mc
"Riva del Garda",PM10,2021-05-21,4,9,µg/mc
"Riva del Garda",PM10,2021-05-21,5,8,µg/mc
"Riva del Garda",PM10,2021-05-21,6,8,µg/mc
"Riva del Garda",PM10,2021-05-21,7,8,µg/mc
"Riva del Garda",PM10,2021-05-21,8,7,µg/mc
"Riva del Garda",PM10,2021-05-21,9,7,µg/mc
"Riva del Garda",PM10,2021-05-21,10,7,µg/mc
"Riva del Garda",PM10,2021-05-21,11,8,µg/mc
"Riva del Garda",PM10,2021-05-21,12,10,µg/mc
"Riva del Garda",PM10,2021-05-21,13,17,µg/mc
"Riva del Garda",PM10,2021-05-21,14,12,µg/mc
"Riva del Garda",PM10,2021-05-21,15,11,µg/mc
"Riva del Garda",PM10,2021-05-21,16,12,µg/mc
"Riva del Garda",PM10,2021-05-21,17,13,µg/mc
"Riva del Garda",PM10,2021-05-21,18,15,µg/mc
"Riva del Garda",PM10,2021-05-21,19,12,µg/mc
"Riva del Garda",PM10,2021-05-21,20,11,µg/mc
"Riva del Garda",PM10,2021-05-21,21,11,µg/mc
"Riva del Garda",PM10,2021-05-21,22,10,µg/mc
"Riva del Garda",PM10,2021-05-21,23,10,µg/mc
"Riva del Garda",PM10,2021-05-21,24,10,µg/mc
"Riva del Garda",PM10,2021-05-22,1,12,µg/mc
"Riva del Garda",PM10,2021-05-22,2,12,µg/mc
"Riva del Garda",PM10,2021-05-22,3,12,µg/mc
"Riva del Garda",PM10,2021-05-22,4,11,µg/mc
"Riva del Garda",PM10,2021-05-22,5,10,µg/mc
"Riva del Garda",PM10,2021-05-22,6,9,µg/mc
"Riva del Garda",PM10,2021-05-22,7,10,µg/mc
"Riva del Garda",PM10,2021-05-22,8,10,µg/mc
"Riva del Garda",PM10,2021-05-22,9,9,µg/mc
"Riva del Garda",PM10,2021-05-22,10,7,µg/mc
"Riva del Garda",PM10,2021-05-22,11,4,µg/mc
"Riva del Garda",PM10,2021-05-22,12,4,µg/mc
"Riva del Garda",PM10,2021-05-22,13,5,µg/mc
"Riva del Garda",PM10,2021-05-22,14,7,µg/mc
"Riva del Garda",PM10,2021-05-22,15,9,µg/mc
"Riva del Garda",PM10,2021-05-22,16,10,µg/mc
"Riva del Garda",PM10,2021-05-22,17,11,µg/mc
"Riva del Garda",PM10,2021-05-22,18,12,µg/mc
"Riva del Garda",PM10,2021-05-22,19,14,µg/mc
"Riva del Garda",PM10,2021-05-22,20,15,µg/mc
"Riva del Garda",PM10,2021-05-22,21,15,µg/mc
"Riva del Garda",PM10,2021-05-22,22,15,µg/mc
"Riva del Garda",PM10,2021-05-22,23,15,µg/mc
"Riva del Garda",PM10,2021-05-22,24,17,µg/mc
"Riva del Garda",PM10,2021-05-23,1,15,µg/mc
"Riva del Garda",PM10,2021-05-23,2,11,µg/mc
"Riva del Garda",PM10,2021-05-23,3,11,µg/mc
"Riva del Garda",PM10,2021-05-23,4,13,µg/mc
"Riva del Garda",PM10,2021-05-23,5,11,µg/mc
"Riva del Garda",PM10,2021-05-23,6,10,µg/mc
"Riva del Garda",PM10,2021-05-23,7,11,µg/mc
"Riva del Garda",PM10,2021-05-23,8,10,µg/mc
"Riva del Garda",PM10,2021-05-23,9,12,µg/mc
"Riva del Garda",PM10,2021-05-23,10,14,µg/mc
"Riva del Garda",PM10,2021-05-23,11,14,µg/mc
"Riva del Garda",PM10,2021-05-23,12,15,µg/mc
"Riva del Garda",PM10,2021-05-23,13,8,µg/mc
"Riva del Garda",PM10,2021-05-23,14,9,µg/mc
"Riva del Garda",PM10,2021-05-23,15,8,µg/mc
"Riva del Garda",PM10,2021-05-23,16,8,µg/mc
"Riva del Garda",PM10,2021-05-23,17,7,µg/mc
"Riva del Garda",PM10,2021-05-23,18,6,µg/mc
"Riva del Garda",PM10,2021-05-23,19,6,µg/mc
"Riva del Garda",PM10,2021-05-23,20,5,µg/mc
