""
,Name: ,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,Equation
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
2,"APPA_2_Parco S. Chiara.csv: PM10,Ozone",-2.318508115160056,91.07950322711744,-0.5666517851827496,4.636779450201929e-12,0.30275147055083984,6.529591869727597,y = -2.32x + 91.08
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
2,"APPA_2_Parco S. Chiara.csv: PM10,Ozone",-2.318508115160056,91.07950322711744,-0.5666517851827496,4.636779450201929e-12,0.30275147055083984,6.529591869727597,y = -2.32x + 91.08
3,"APPA_2_Parco S. Chiara.csv: PM10,PM2.5",0.8433808364237635,-2.378827787038972,0.9685810490603395,8.538458692021794e-77,0.0194468564561061,0.4194200463387238,y = 0.84x + -2.38
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
2,"APPA_2_Parco S. Chiara.csv: PM10,Ozone",-2.318508115160056,91.07950322711744,-0.5666517851827496,4.636779450201929e-12,0.30275147055083984,6.529591869727597,y = -2.32x + 91.08
3,"APPA_2_Parco S. Chiara.csv: PM10,PM2.5",0.8433808364237635,-2.378827787038972,0.9685810490603395,8.538458692021794e-77,0.0194468564561061,0.4194200463387238,y = 0.84x + -2.38
4,"APPA_2_Parco S. Chiara.csv: Nitrogen dioxide,Sulfur dioxide",0.05661823994285963,0.08684629416025591,0.7485500507450994,7.104030336364106e-24,0.004503907765211181,0.15891664078514062,y = 0.06x + 0.09
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
2,"APPA_2_Parco S. Chiara.csv: PM10,Ozone",-2.318508115160056,91.07950322711744,-0.5666517851827496,4.636779450201929e-12,0.30275147055083984,6.529591869727597,y = -2.32x + 91.08
3,"APPA_2_Parco S. Chiara.csv: PM10,PM2.5",0.8433808364237635,-2.378827787038972,0.9685810490603395,8.538458692021794e-77,0.0194468564561061,0.4194200463387238,y = 0.84x + -2.38
4,"APPA_2_Parco S. Chiara.csv: Nitrogen dioxide,Sulfur dioxide",0.05661823994285963,0.08684629416025591,0.7485500507450994,7.104030336364106e-24,0.004503907765211181,0.15891664078514062,y = 0.06x + 0.09
5,"APPA_2_Parco S. Chiara.csv: Nitrogen dioxide,Ozone",-1.623173726869074,96.22623548118023,-0.8191180230680954,1.0214458600878847e-31,0.10207884944834937,3.601767330771074,y = -1.62x + 96.23
0,"APPA_2_Parco S. Chiara.csv: PM10,Nitrogen dioxide",1.4984143982732838,1.7353678706365372,0.7257016343326684,7.116453833594238e-22,0.127572615338137,2.751422182677404,y = 1.5x + 1.74
1,"APPA_2_Parco S. Chiara.csv: PM10,Sulfur dioxide",0.09497547022476674,-0.02268351546905456,0.6081379357185392,4.275293627100154e-14,0.01113337336658814,0.2401190127494627,y = 0.09x + -0.02
2,"APPA_2_Parco S. Chiara.csv: PM10,Ozone",-2.318508115160056,91.07950322711744,-0.5666517851827496,4.636779450201929e-12,0.30275147055083984,6.529591869727597,y = -2.32x + 91.08
3,"APPA_2_Parco S. Chiara.csv: PM10,PM2.5",0.8433808364237635,-2.378827787038972,0.9685810490603395,8.538458692021794e-77,0.0194468564561061,0.4194200463387238,y = 0.84x + -2.38
4,"APPA_2_Parco S. Chiara.csv: Nitrogen dioxide,Sulfur dioxide",0.05661823994285963,0.08684629416025591,0.7485500507450994,7.104030336364106e-24,0.004503907765211181,0.15891664078514062,y = 0.06x + 0.09
